P.SYMBOL,P.DATE,P.PRICE,EST.S.DATE,EST.S.PRICE,T.DATE,T.PRICE,STATUS,PROFITPCT,PROFITPCT252D,DATEPCT,PRICEPCT
ASX-ANZ,2020-01-21,25.51,2020-10-09,26.58,2020-02-10,25.9,OPEN,1.53,19.0,8.0,36.0
ASX-A2M,2020-01-22,15.59,2020-07-05,23.89,2020-02-10,14.45,OPEN,-7.31,-97.0,12.0,-14.0
ASX-VVR,2020-01-22,2.75,2020-03-10,2.89,2020-02-10,2.76,OPEN,0.36,5.0,40.0,7.0
ASX-VVR,2020-01-22,2.75,2020-07-06,3.05,2020-02-10,2.76,OPEN,0.36,5.0,11.0,3.0
ASX-VVR,2020-01-22,2.75,2020-10-04,2.91,2020-02-10,2.76,OPEN,0.36,5.0,7.0,6.0
ASX-A2M,2020-01-22,15.59,2020-04-15,19.81,2020-02-10,14.45,OPEN,-7.31,-97.0,23.0,-27.0
ASX-VVR,2020-01-22,2.75,2020-02-13,2.83,2020-02-10,2.76,OPEN,0.36,5.0,86.0,12.0
ASX-A2M,2020-01-22,15.59,2020-02-25,17.25,2020-02-10,14.45,OPEN,-7.31,-97.0,56.0,-69.0
ASX-A2M,2020-01-22,15.59,2020-10-24,34.02,2020-02-10,14.45,OPEN,-7.31,-97.0,7.0,-6.0
ASX-BOQ,2020-01-22,7.4,2020-12-09,8.02,2020-02-10,7.51,OPEN,1.49,20.0,6.0,18.0
0175.HK,2020-01-22,14.1,2020-11-15,18.96,2020-02-07,13.5,OPEN,-4.26,-67.0,5.0,-12.0
DLR,2020-01-22,126.28,2020-07-24,139.05,2020-02-07,123.28,OPEN,-2.38,-37.0,9.0,-23.0
RIO,2020-01-22,60.5,2020-10-06,68.82,2020-02-07,53.73,OPEN,-11.19,-176.0,6.0,-81.0
ASX-A2M,2020-01-23,15.31,2020-03-10,18.0,2020-02-10,14.45,OPEN,-5.62,-79.0,38.0,-32.0
ASX-A2M,2020-01-23,15.31,2020-08-10,19.97,2020-02-10,14.45,OPEN,-5.62,-79.0,9.0,-18.0
