P.SYMBOL,P.DATE,P.PRICE,EST.S.DATE,EST.S.PRICE,T.DATE,T.PRICE,STATUS,PROFITPCT
1299.HK,2020-02-03,78.5,2020-09-12,94.12,2020-02-05,79.35,OPEN,1.08
0857.HK,2020-02-03,3.38,2020-10-30,5.39,2020-02-05,3.43,OPEN,1.48
0175.HK,2020-02-03,12.6,2020-10-26,18.94,2020-02-05,13.2,OPEN,4.76
1299.HK,2020-02-03,78.5,2020-06-11,86.48,2020-02-05,79.35,OPEN,1.08
0175.HK,2020-02-03,12.6,2020-11-27,16.94,2020-02-05,13.2,OPEN,4.76
1299.HK,2020-02-03,78.5,2020-04-01,82.75,2020-02-05,79.35,OPEN,1.08
0386.HK,2020-02-03,4.07,2020-04-16,4.23,2020-02-05,4.11,OPEN,0.98
NKE,2020-02-03,99.27,2020-12-21,120.1,2020-02-04,101.38,OPEN,2.13
AMZN,2020-02-03,2004.2,2020-09-15,2548.34,2020-02-04,2049.67,OPEN,2.27
AMZN,2020-02-03,2004.2,2020-08-13,2651.76,2020-02-04,2049.67,OPEN,2.27
LULU,2020-02-03,246.37,2020-10-15,324.81,2020-02-04,247.99,OPEN,0.66
NKE,2020-02-03,99.27,2020-06-11,107.09,2020-02-04,101.38,OPEN,2.13
NKE,2020-02-03,99.27,2020-04-17,104.0,2020-02-04,101.38,OPEN,2.13
LULU,2020-02-03,246.37,2021-01-09,296.63,2020-02-04,247.99,OPEN,0.66
ASX-CWN,2020-02-04,11.56,2020-04-17,12.09,2020-02-05,11.53,OPEN,-0.26
ASX-NAB,2020-02-04,25.6,2021-01-04,27.4,2020-02-05,25.67,OPEN,0.27
ASX-CWN,2020-02-04,11.56,2020-07-30,12.35,2020-02-05,11.53,OPEN,-0.26
0288.HK,2020-02-04,7.45,2020-07-04,9.08,2020-02-05,7.62,OPEN,2.28
0288.HK,2020-02-04,7.45,2020-08-14,11.31,2020-02-05,7.62,OPEN,2.28
2208.HK,2020-02-04,8.31,2021-01-11,11.08,2020-02-05,8.48,OPEN,2.05
1038.HK,2020-02-04,54.05,2021-01-19,66.87,2020-02-05,54.35,OPEN,0.56
2388.HK,2020-02-04,26.0,2021-02-02,33.46,2020-02-05,25.9,OPEN,-0.38
2800.HK,2020-02-04,26.85,2020-12-07,31.8,2020-02-05,26.95,OPEN,0.37
0175.HK,2020-02-04,12.76,2020-10-27,19.18,2020-02-05,13.2,OPEN,3.45
2208.HK,2020-02-04,8.31,2020-12-30,11.05,2020-02-05,8.48,OPEN,2.05
0175.HK,2020-02-04,12.76,2020-11-28,17.16,2020-02-05,13.2,OPEN,3.45
1038.HK,2020-02-04,54.05,2020-06-27,57.33,2020-02-05,54.35,OPEN,0.56
1816.HK,2020-02-04,1.91,2020-04-08,2.01,2020-02-05,1.93,OPEN,1.05
1038.HK,2020-02-04,54.05,2020-04-02,55.81,2020-02-05,54.35,OPEN,0.56
2800.HK,2020-02-04,26.85,2020-07-13,28.79,2020-02-05,26.95,OPEN,0.37
0267.HK,2020-02-04,8.87,2020-03-24,9.57,2020-02-05,8.93,OPEN,0.68
0288.HK,2020-02-04,7.45,2020-06-28,8.05,2020-02-05,7.62,OPEN,2.28
0267.HK,2020-02-04,8.87,2020-05-30,11.13,2020-02-05,8.93,OPEN,0.68
MA,2020-02-04,329.12,2020-11-19,428.09,2020-02-04,329.12,OPEN,0.0
MA,2020-02-04,329.12,2020-05-30,379.01,2020-02-04,329.12,OPEN,0.0
UPS,2020-02-04,103.38,2020-04-11,106.19,2020-02-04,103.38,OPEN,0.0
MMM,2020-02-04,157.24,2020-10-22,178.06,2020-02-04,157.24,OPEN,0.0
MA,2020-02-04,329.12,2020-04-21,351.07,2020-02-04,329.12,OPEN,0.0
MMM,2020-02-04,157.24,2020-12-02,179.73,2020-02-04,157.24,OPEN,0.0
QQQ,2020-02-04,227.47,2020-07-13,239.69,2020-02-04,227.47,OPEN,0.0
QQQ,2020-02-04,227.47,2020-05-14,231.18,2020-02-04,227.47,OPEN,0.0
UPS,2020-02-04,103.38,2020-08-10,109.66,2020-02-04,103.38,OPEN,0.0
UPS,2020-02-04,103.38,2020-04-06,107.01,2020-02-04,103.38,OPEN,0.0
