P.SYMBOL,P.DATE,P.PRICE,EST.S.DATE,EST.S.PRICE,T.DATE,T.PRICE,STATUS,PROFITPCT
ASX-ANZ,2020-01-21,25.51,2020-10-09,26.58,2020-02-05,25.79,OPEN,1.1
ASX-A2M,2020-01-22,15.59,2020-07-05,23.89,2020-02-05,14.15,OPEN,-9.24
ASX-VVR,2020-01-22,2.75,2020-03-10,2.89,2020-02-05,2.76,OPEN,0.36
ASX-VVR,2020-01-22,2.75,2020-07-06,3.05,2020-02-05,2.76,OPEN,0.36
ASX-VVR,2020-01-22,2.75,2020-10-04,2.91,2020-02-05,2.76,OPEN,0.36
ASX-A2M,2020-01-22,15.59,2020-04-15,19.81,2020-02-05,14.15,OPEN,-9.24
ASX-VVR,2020-01-22,2.75,2020-02-13,2.83,2020-02-05,2.76,OPEN,0.36
ASX-A2M,2020-01-22,15.59,2020-02-25,17.25,2020-02-05,14.15,OPEN,-9.24
ASX-A2M,2020-01-22,15.59,2020-10-24,34.02,2020-02-05,14.15,OPEN,-9.24
ASX-BOQ,2020-01-22,7.4,2020-12-09,8.02,2020-02-05,7.47,OPEN,0.95
0175.HK,2020-01-22,14.1,2020-11-15,18.96,2020-02-05,13.2,OPEN,-6.38
DLR,2020-01-22,126.28,2020-07-24,139.05,2020-02-04,124.99,OPEN,-1.02
RIO,2020-01-22,60.5,2020-10-06,68.82,2020-02-04,54.97,OPEN,-9.14
ASX-A2M,2020-01-23,15.31,2020-03-10,18.0,2020-02-05,14.15,OPEN,-7.58
ASX-A2M,2020-01-23,15.31,2020-08-10,19.97,2020-02-05,14.15,OPEN,-7.58
ASX-A2M,2020-01-23,15.31,2020-06-09,18.2,2020-02-05,14.15,OPEN,-7.58
ASX-A2M,2020-01-23,15.31,2020-10-07,15.72,2020-02-05,14.15,OPEN,-7.58
ASX-A2M,2020-01-23,15.31,2020-02-13,16.63,2020-02-05,14.15,OPEN,-7.58
ASX-A2M,2020-01-23,15.31,2020-02-03,15.78,2020-02-03,14.16,CLOSED,-7.51
ASX-A2M,2020-01-23,15.31,2020-02-13,16.63,2020-02-05,14.15,OPEN,-7.58
ASX-A2M,2020-01-23,15.31,2020-03-04,18.48,2020-02-05,14.15,OPEN,-7.58
NFLX,2020-01-23,349.6,2020-08-04,491.61,2020-02-04,369.01,OPEN,5.55
ITA,2020-01-23,231.24,2020-05-25,239.52,2020-02-04,231.11,OPEN,-0.06
NFLX,2020-01-23,349.6,2020-07-14,453.54,2020-02-04,369.01,OPEN,5.55
ITA,2020-01-23,231.24,2021-01-08,253.55,2020-02-04,231.11,OPEN,-0.06
ITA,2020-01-23,231.24,2020-04-25,234.01,2020-02-04,231.11,OPEN,-0.06
ASX-CQR,2020-01-24,4.67,2020-11-19,4.97,2020-02-05,4.87,OPEN,4.28
ASX-CQR,2020-01-24,4.67,2020-07-04,4.99,2020-02-05,4.87,OPEN,4.28
ASX-NAN,2020-01-28,6.83,2020-12-18,9.64,2020-02-05,6.88,OPEN,0.73
WMT,2020-01-28,116.6,2021-01-15,129.36,2020-02-04,115.27,OPEN,-1.14
DIS,2020-01-28,138.37,2020-08-19,148.61,2020-02-04,144.73,OPEN,4.6
DIS,2020-01-28,138.37,2020-07-16,147.68,2020-02-04,144.73,OPEN,4.6
ASX-CWN,2020-01-29,11.55,2020-04-01,12.18,2020-02-05,11.53,OPEN,-0.17
ASX-CWN,2020-01-29,11.55,2020-07-21,12.53,2020-02-05,11.53,OPEN,-0.17
ASX-AGL,2020-01-29,20.14,2020-07-03,21.37,2020-02-05,19.56,OPEN,-2.88
ASX-CWN,2020-01-29,11.55,2020-04-11,12.08,2020-02-05,11.53,OPEN,-0.17
ASX-CWN,2020-01-29,11.55,2020-07-24,12.34,2020-02-05,11.53,OPEN,-0.17
0268.HK,2020-01-29,8.71,2020-06-09,9.48,2020-02-04,9.48,CLOSED,8.84
0268.HK,2020-01-29,8.71,2020-09-12,11.65,2020-02-05,9.33,OPEN,7.12
ITA,2020-01-29,232.11,2021-01-10,265.51,2020-02-04,231.11,OPEN,-0.43
ITA,2020-01-29,232.11,2020-05-30,245.18,2020-02-04,231.11,OPEN,-0.43
ITA,2020-01-29,232.11,2020-05-21,241.3,2020-02-04,231.11,OPEN,-0.43
ASX-CWN,2020-01-30,11.6,2020-04-12,12.14,2020-02-05,11.53,OPEN,-0.6
ASX-IVC,2020-01-30,13.11,2020-12-01,14.77,2020-02-05,13.28,OPEN,1.3
ASX-IVC,2020-01-30,13.11,2020-12-01,14.77,2020-02-05,13.28,OPEN,1.3
ASX-CWN,2020-01-30,11.6,2020-07-25,12.39,2020-02-05,11.53,OPEN,-0.6
2588.HK,2020-01-30,71.4,2020-03-18,77.04,2020-02-05,75.0,OPEN,5.04
2588.HK,2020-01-30,71.4,2020-04-03,78.62,2020-02-05,75.0,OPEN,5.04
2588.HK,2020-01-30,71.4,2020-06-16,85.34,2020-02-05,75.0,OPEN,5.04
2588.HK,2020-01-30,71.4,2020-07-10,83.65,2020-02-05,75.0,OPEN,5.04
2588.HK,2020-01-30,71.4,2020-05-17,73.67,2020-02-04,73.67,CLOSED,3.18
NFLX,2020-01-30,347.74,2020-06-26,495.11,2020-02-04,369.01,OPEN,6.12
MMM,2020-01-30,162.51,2020-10-17,184.03,2020-02-04,157.24,OPEN,-3.24
NFLX,2020-01-30,347.74,2020-05-05,442.08,2020-02-04,369.01,OPEN,6.12
MMM,2020-01-30,162.51,2020-11-27,185.75,2020-02-04,157.24,OPEN,-3.24
DIS,2020-01-30,137.81,2020-07-18,147.08,2020-02-04,144.73,OPEN,5.02
MSFT,2020-01-30,172.78,2020-11-30,184.18,2020-02-04,180.12,OPEN,4.25
ASX-CWN,2020-01-31,11.7,2020-04-13,12.24,2020-02-05,11.53,OPEN,-1.45
ASX-CWN,2020-01-31,11.7,2020-07-26,12.5,2020-02-05,11.53,OPEN,-1.45
0175.HK,2020-01-31,12.54,2020-10-23,18.85,2020-02-05,13.2,OPEN,5.26
2208.HK,2020-01-31,8.23,2020-12-26,10.94,2020-02-05,8.48,OPEN,3.04
0175.HK,2020-01-31,12.54,2020-11-24,16.86,2020-02-05,13.2,OPEN,5.26
AMZN,2020-01-31,2008.72,2020-08-08,2650.71,2020-02-04,2049.67,OPEN,2.04
AMZN,2020-01-31,2008.72,2020-09-23,2551.88,2020-02-04,2049.67,OPEN,2.04
ASX-VVR,2020-02-03,2.75,2020-04-27,2.92,2020-02-05,2.76,OPEN,0.36
ASX-VVR,2020-02-03,2.75,2020-09-13,3.23,2020-02-05,2.76,OPEN,0.36
ASX-VVR,2020-02-03,2.75,2020-08-22,2.9,2020-02-05,2.76,OPEN,0.36
ASX-VVR,2020-02-03,2.75,2020-03-11,2.81,2020-02-05,2.76,OPEN,0.36
