P.SYMBOL,P.DATE,P.PRICE,EST.S.DATE,EST.S.PRICE,T.DATE,T.PRICE,STATUS,PROFITPCT,PROFITPCT252D,DATEPCT,PRICEPCT
ASX-ANZ,2020-01-21,25.51,2020-10-09,26.58,2020-02-07,26.03,OPEN,2.04,30.24,6.0,49.0
ASX-A2M,2020-01-22,15.59,2020-07-05,23.89,2020-02-07,14.79,OPEN,-5.13,-80.8,10.0,-10.0
ASX-VVR,2020-01-22,2.75,2020-03-10,2.89,2020-02-07,2.75,OPEN,0.0,0.0,33.0,0.0
ASX-VVR,2020-01-22,2.75,2020-07-06,3.05,2020-02-07,2.75,OPEN,0.0,0.0,10.0,0.0
ASX-VVR,2020-01-22,2.75,2020-10-04,2.91,2020-02-07,2.75,OPEN,0.0,0.0,6.0,0.0
ASX-A2M,2020-01-22,15.59,2020-04-15,19.81,2020-02-07,14.79,OPEN,-5.13,-80.8,19.0,-19.0
ASX-VVR,2020-01-22,2.75,2020-02-13,2.83,2020-02-07,2.75,OPEN,0.0,0.0,73.0,0.0
ASX-A2M,2020-01-22,15.59,2020-02-25,17.25,2020-02-07,14.79,OPEN,-5.13,-80.8,47.0,-48.0
ASX-A2M,2020-01-22,15.59,2020-10-24,34.02,2020-02-07,14.79,OPEN,-5.13,-80.8,6.0,-4.0
ASX-BOQ,2020-01-22,7.4,2020-12-09,8.02,2020-02-07,7.52,OPEN,1.62,25.52,5.0,19.0
0175.HK,2020-01-22,14.1,2020-11-15,18.96,2020-02-07,13.5,OPEN,-4.26,-67.1,5.0,-12.0
DLR,2020-01-22,126.28,2020-07-24,139.05,2020-02-06,124.02,OPEN,-1.79,-30.07,8.0,-18.0
RIO,2020-01-22,60.5,2020-10-06,68.82,2020-02-06,55.38,OPEN,-8.46,-142.13,6.0,-62.0
ASX-A2M,2020-01-23,15.31,2020-03-10,18.0,2020-02-07,14.79,OPEN,-3.4,-57.12,32.0,-19.0
ASX-A2M,2020-01-23,15.31,2020-08-10,19.97,2020-02-07,14.79,OPEN,-3.4,-57.12,8.0,-11.0
ASX-A2M,2020-01-23,15.31,2020-06-09,18.2,2020-02-07,14.79,OPEN,-3.4,-57.12,11.0,-18.0
ASX-A2M,2020-01-23,15.31,2020-10-07,15.72,2020-02-07,14.79,OPEN,-3.4,-57.12,6.0,-127.0
ASX-A2M,2020-01-23,15.31,2020-02-13,16.63,2020-02-07,14.79,OPEN,-3.4,-57.12,71.0,-39.0
ASX-A2M,2020-01-23,15.31,2020-02-03,15.78,2020-02-03,14.16,CLOSED,-7.51,-172.05,100.0,-245.0
ASX-A2M,2020-01-23,15.31,2020-02-13,16.63,2020-02-07,14.79,OPEN,-3.4,-57.12,71.0,-39.0
ASX-A2M,2020-01-23,15.31,2020-03-04,18.48,2020-02-07,14.79,OPEN,-3.4,-57.12,37.0,-16.0
NFLX,2020-01-23,349.6,2020-08-04,491.61,2020-02-06,366.95,OPEN,4.96,89.28,7.0,12.0
ITA,2020-01-23,231.24,2020-05-25,239.52,2020-02-06,237.63,OPEN,2.76,49.68,11.0,77.0
NFLX,2020-01-23,349.6,2020-07-14,453.54,2020-02-06,366.95,OPEN,4.96,89.28,8.0,17.0
ITA,2020-01-23,231.24,2021-01-08,253.55,2020-02-06,237.63,OPEN,2.76,49.68,4.0,29.0
ITA,2020-01-23,231.24,2020-04-25,234.01,2020-02-05,234.01,CLOSED,1.2,23.26,14.0,100.0
ASX-CQR,2020-01-24,4.67,2020-11-19,4.97,2020-02-07,4.92,OPEN,5.35,96.3,5.0,83.0
ASX-CQR,2020-01-24,4.67,2020-07-04,4.99,2020-02-07,4.92,OPEN,5.35,96.3,9.0,78.0
ASX-NAN,2020-01-28,6.83,2020-12-18,9.64,2020-02-07,7.34,OPEN,7.47,188.24,3.0,18.0
WMT,2020-01-28,116.6,2021-01-15,129.36,2020-02-06,116.31,OPEN,-0.25,-7.0,3.0,-2.0
DIS,2020-01-28,138.37,2020-08-19,148.61,2020-02-06,142.7,OPEN,3.13,87.64,4.0,42.0
DIS,2020-01-28,138.37,2020-07-16,147.68,2020-02-06,142.7,OPEN,3.13,87.64,5.0,47.0
ASX-CWN,2020-01-29,11.55,2020-04-01,12.18,2020-02-07,11.61,OPEN,0.52,14.56,14.0,10.0
ASX-CWN,2020-01-29,11.55,2020-07-21,12.53,2020-02-07,11.61,OPEN,0.52,14.56,5.0,6.0
ASX-AGL,2020-01-29,20.14,2020-07-03,21.37,2020-02-07,19.56,OPEN,-2.88,-80.64,6.0,-47.0
ASX-CWN,2020-01-29,11.55,2020-04-11,12.08,2020-02-07,11.61,OPEN,0.52,14.56,12.0,11.0
